id	tweet	full_name	name	place_type	country	country_code
311	1053146977809129473	Balneário Camboriú, Brasil	Balneário Camboriú	city	Brasil	BR
312	1053149272248606721	Lyngby-Taarbæk, Danmark	Lyngby-Taarbæk	city	Dinamarca	DK
313	1053149896285605889	São Vicente, Brasil	São Vicente	city	Brazil	BR
314	1053151299083087872	São Vicente, Brasil	São Vicente	city	Brazil	BR
315	1053152027637899265	Braço do Norte, Brasil	Braço do Norte	city	Brasil	BR
316	1053152228968665089	Niterói, Brasil	Niterói	city	Brasil	BR
317	1053152608750309377	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
318	1053152681462763520	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
319	1053153855041662977	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
320	1053155117430652929	Jaguaruna, Brasil	Jaguaruna	city	Brasil	BR
321	1053155214520389633	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
322	1053155533597876224	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
323	1053155728372981761	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
324	1053156345602625536	Jaguaruna, Brasil	Jaguaruna	city	Brasil	BR
325	1053156604860862469	Campinas, Brasil	Campinas	city	Brasil	BR
326	1053158330007539713	Canoas, Brasil	Canoas	city	Brasil	BR
327	1053160413054058496	Sertãozinho, Brasil	Sertãozinho	city	Brasil	BR
328	1053161821769752581	São Paulo, Brasil	São Paulo	city	Brasil	BR
329	1053164399362498560	São Paulo, Brasil	São Paulo	city	Brasil	BR
330	1053165733373452289	Santos, Brasil	Santos	city	Brasil	BR
331	1053167047616724992	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
332	1053167799328272384	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
333	1053176982161235968	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
334	1053177620823711744	João Pessoa, Brasil	João Pessoa	city	Brasil	BR
335	1053177787757092864	João Pessoa, Brasil	João Pessoa	city	Brasil	BR
336	1053177905369493504	João Pessoa, Brasil	João Pessoa	city	Brasil	BR
337	1053177942619111425	São Paulo, Brasil	São Paulo	city	Brasil	BR
338	1053179313225457664	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
339	1053186506553286656	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
340	1053187113225781249	Montes Claros, Brasil	Montes Claros	city	Brasil	BR
341	1053188777609453568	São Paulo, Brasil	São Paulo	city	Brasil	BR
342	1053191914319724544	Campo Grande, Brasil	Campo Grande	city	Brasil	BR
343	1053197166947254272	Recife, Brazil	Recife	city	Brazil	BR
344	1053197999268982784	Seixal, Portugal	Seixal	city	Portugal	PT
345	1053199259569438720	Uberlândia, Brasil	Uberlândia	city	Brasil	BR
346	1053199457339215873	Rio das Antas, Brasil	Rio das Antas	city	Brasil	BR
347	1053199723732045824	Guaxupé, Brasil	Guaxupé	city	Brasil	BR
348	1053199874601246720	Teresina, Brasil	Teresina	city	Brasil	BR
349	1053200089362194433	Lavras, Brasil	Lavras	city	Brasil	BR
350	1053200423547531265	Lavras, Brasil	Lavras	city	Brasil	BR
351	1053201741716615168	Lavras, Brasil	Lavras	city	Brasil	BR
352	1053202254034034689	Lavras, Brasil	Lavras	city	Brasil	BR
353	1053202735649222658	Aparecida, Brasil	Aparecida	city	Brasil	BR
354	1053203166064529408	Lavras, Brasil	Lavras	city	Brasil	BR
355	1053203227276009473	Barueri, Brasil	Barueri	city	Brazil	BR
356	1053203516213420032	Lavras, Brasil	Lavras	city	Brasil	BR
357	1053203535167438848	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
358	1053204250803818496	São Paulo, Brasil	São Paulo	city	Brasil	BR
359	1053204687808331776	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
360	1053205653894914049	Feira de Santana, Brasil	Feira de Santana	city	Brasil	BR
361	1053205744894574592	Salvador, Brasil	Salvador	city	Brasil	BR
362	1053206336257880064	Rio das Antas, Brasil	Rio das Antas	city	Brasil	BR
363	1053208653602476033	São Luís, Brasil	São Luís	city	Brasil	BR
364	1053209538550263808	Manaus, Brasil	Manaus	city	Brasil	BR
365	1053210129213149185	Belém, Brasil	Belém	city	Brasil	BR
366	1053212355235061762	Campinas, Brasil	Campinas	city	Brazil	BR
367	1053212686262194177	Belém, Brazil	Belém	city	Brazil	BR
368	1053212980727418882	Jardim de Piranhas, Brasil	Jardim de Piranhas	city	Brasil	BR
369	1053213158679166976	Osasco, Brasil	Osasco	city	Brasil	BR
370	1053213219869913088	Curitiba, Brasil	Curitiba	city	Brasil	BR
371	1053213290363527168	Cuiabá, Brasil	Cuiabá	city	Brasil	BR
372	1053213299456774144	Santos, Brasil	Santos	city	Brasil	BR
373	1053213497536995328	Brasília, Brazil	Brasília	city	Brazil	BR
374	1053213625324838913	Belém, Brazil	Belém	city	Brazil	BR
375	1053215094732218368	Patos de Minas, Brasil	Patos de Minas	city	Brasil	BR
376	1053215982628552704	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
377	1053216560213569536	Brasilia, Brasil	Brasilia	city	Brasil	BR
378	1053218746196770816	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
379	1053219377745682433	Brasília, Brazil	Brasília	city	Brazil	BR
380	1053219520477913088	São Paulo, Brasil	São Paulo	city	Brasil	BR
381	1053220179558256640	Diadema, Brasil	Diadema	city	Brasil	BR
382	1053220274898944000	Salvador, Brasil	Salvador	city	Brasil	BR
383	1053220361410670594	Goiânia, Brasil	Goiânia	city	Brasil	BR
384	1053220430151065601	Penha, Brasil	Penha	city	Brasil	BR
385	1053220813984407554	Brasília, Brasil	Brasília	city	Brasil	BR
386	1053221061289041920	Jundiaí, Brasil	Jundiaí	city	Brasil	BR
387	1053222145428545537	São Vicente, Brasil	São Vicente	city	Brasil	BR
