id	text	tweet
183	MarqueteirosDoJair	1053074697389252608
184	MarqueteirosDoJair	1053074699515817984
185	MarqueteirosDoJair	1053074699515817984
186	MarqueteirosDoJair	1053074699515817984
187	MarqueteirosDoJair	1053074699515817984
188	MarqueteirosDoJair	1053074699515817984
189	MarketeirosDoJair	1053074701113794560
190	FolhaPutinhaDoPT	1053074701113794560
191	G1	1053074748714967045
192	Eleições2018	1053074748714967045
193	G1	1053074755002216448
194	G1Rio	1053074755002216448
195	Folha	1053074758491951105
196	Datafolha	1053074758491951105
197	Eleições2018	1053074758491951105
198	caixa2deBolsonaro	1053074773880774659
199	Bolsolao	1053074773880774659
200	G1	1053074780709179392
201	Eleições2018	1053074780709179392
202	caixa2dobolsonaro	1053074793455480833
203	MarqueteirosDoJair	1053074808802607104
204	MarqueteirosDoJair	1053074808802607104
205	MarqueteirosDoJair	1053074808802607104
206	MarqueteirosDoJair	1053074808802607104
207	MarqueteirosDoJair	1053074808802607104
208	MarketeirosDoJair	1053074819464474635
209	LulaTaPresoBabaca	1053074819464474635
210	FakeNewsDoHaddad	1053074819464474635
211	BrasilComBolsonaro	1053074819464474635
212	PTnão	1053074822761246722
213	G1	1053074826510917632
214	G1Rio	1053074826510917632
215	MarqueteiradoJair	1053074893254856712
216	MarketeirosDoJair	1053074918768865281
217	MarqueiteirosDoJair	1053074929548169218
218	G1	1053074936745607168
219	G1Rio	1053074936745607168
220	operacaolavazapeuapoio	1053074958686081025
221	PTNAO	1053074993117097985
222	PTNUNCAMAIS	1053074993117097985
223	MarqueteirosDoJair	1053075006459207682
224	MarqueteirosDoJair	1053075006459207682
225	MarqueteirosDoJair	1053075006459207682
226	MarqueteirosDoJair	1053075006459207682
227	MarqueteirosDoJair	1053075006459207682
228	CadêAProva	1053075026050772992
229	CadêAProva	1053075034468728832
230	Bolsolao	1053075035336916994
231	caixa2deBolsonaro	1053075035336916994
232	MarqueteirosDoJair	1053075048091865089
233	MarqueteirosDoJair	1053075048091865089
234	MarqueteirosDoJair	1053075048091865089
235	MarqueteirosDoJair	1053075048091865089
236	MarqueteirosDoJair	1053075048091865089
237	G1	1053075051711549441
238	G1Rio	1053075051711549441
239	CadêAProva	1053075068455174145
240	MarketeirosDoJair	1053075077401591808
241	MarqueteirosDoJair	1053075085848920064
242	MarqueteirosDoJair	1053075085848920064
243	MarqueteirosDoJair	1053075085848920064
244	MarqueteirosDoJair	1053075085848920064
245	MarqueteirosDoJair	1053075085848920064
246	MarketeirosDoJair	1053075113023864833
247	FORAPT	1053075131667546114
248	VemProDebateBolsonaro	1053075134934904832
249	FolhaPutinhaDoPT	1053075143747162113
250	MarketeirosDoJair	1053075143747162113
251	MarketeirosDoJair	1053075144934129666
252	FolhaPutinhaDoPT	1053075144934129666
253	Folha	1053075149577166848
254	Datafolha	1053075149577166848
255	Eleições2018	1053075149577166848
256	MarketeirosDoJair	1053075195148320768
257	G1	1053075208016457728
258	Eleições2018	1053075208016457728
259	Folha	1053075219164905473
260	Datafolha	1053075219164905473
261	Eleições2018	1053075219164905473
262	MarketeirosDoJair	1053075240920723457
263	MarketeirosDoJair	1053075248944422912
264	CadeAProva	1053075248944422912
265	FacoDeGraca	1053075248944422912
266	PTNÃONUNCAMAIS	1053075270066954240
267	FolhaPutinhaDoPT	1053075271379832832
268	B17	1053075278107475968
269	PTNAO	1053075278107475968
270	PTNUNCAMAIS	1053075278107475968
271	MarqueteirosDoJair	1053075297275387904
272	MarqueteirosDoJair	1053075297275387904
273	MarqueteirosDoJair	1053075297275387904
274	MarqueteirosDoJair	1053075297275387904
275	MarqueteirosDoJair	1053075297275387904
276	BOLSONARO	1053075302270861312
277	bolsonaropresidente	1053075305949290496
278	elesim	1053075305949290496
279	MarketeirosDoBolsonaro	1053075328447463425
280	G1	1053075334248177664
281	TomavergonhanacaraBolsominion	1053075350589194248
282	MarketeirosDoJair	1053075381559922689
283	G1	1053075414917230593
284	Eleições2018	1053075414917230593
285	Caixa2DoBolsonaro	1053075435586752512
286	Caixa2doBolsonaro	1053075464619737089
287	TomavergonhanacaraBolsominion	1053075494302814209
288	caixa2deBolsonaro	1053075526536060928
289	Bolsolao	1053075526536060928
290	VemProDebate	1053075526536060928
291	CadêAProva	1053075529597882368
292	MarqueteirosDoJair	1053075530709430272
293	MarqueteirosDoJair	1053075530709430272
294	MarqueteirosDoJair	1053075530709430272
295	MarqueteirosDoJair	1053075530709430272
296	MarqueteirosDoJair	1053075530709430272
297	CadêAProva	1053075545406214150
298	G1	1053075577488531457
299	G1Rio	1053075577488531457
300	Folha	1053075599533727744
301	Datafolha	1053075599533727744
302	Eleições2018	1053075599533727744
303	G1	1053075600498479105
304	somostodosBolsonaro	1053075605892317184
305	G1	1053075620916326402
306	MarqueteirosDoJair	1053075630059859968
307	MarqueteirosDoJair	1053075630059859968
308	MarqueteirosDoJair	1053075630059859968
309	MarqueteirosDoJair	1053075630059859968
310	MarqueteirosDoJair	1053075630059859968
311	MarqueteirosDoJair	1053075666005098499
312	MarqueteirosDoJair	1053075666005098499
313	MarqueteirosDoJair	1053075666005098499
314	MarqueteirosDoJair	1053075666005098499
315	MarqueteirosDoJair	1053075666005098499
316	G1	1053075680831946752
317	Eleições2018	1053075680831946752
318	Caixa2doBolsanaro	1053075682723540993
319	Caixa2doBolsonaro	1053075693448429568
320	PTNAO	1053075704563318785
321	PTNUNCAMAIS	1053075704563318785
322	CadeAProva	1053075705553215489
323	Folha	1053075710410219521
324	Datafolha	1053075710410219521
325	Eleições2018	1053075710410219521
326	MarketeirosDoJair	1053075716517044225
327	caixa2deBolsonaro	1053075730005966848
328	Bolsolao	1053075730005966848
329	SOMOSTODOSCAIXA2	1053075743599742976
330	PTNuncaMais	1053075743599742976
331	PTnão	1053075743599742976
332	Caixa2doBolsonaro	1053075766429257730
333	G1	1053075792383610880
334	G1	1053075827691270145
335	Eleições2018	1053075827691270145
336	Caixa2doBolsonaro	1053075909891231748
337	Bolsolao	1053075909723480064
338	caixa2deBolsonaro	1053075909723480064
339	AcordaImprensaADemocraciaEstáEmPerigo	1053075941616951297
340	FaçoDeGraça	1053075962693406721
341	MarketeirosDoJair	1053075962693406721
342	Caixa2doBolsanaro	1053075991143346177
343	Caixa2doBolsanaro	1053076023502352384
344	LulaTaPresoBabaca	1053076024903323649
345	MarketeirosDoJair	1053076051667099649
346	Caixa2doBolsanaro	1053076053177065472
347	MarketeirosDoJair	1053076054062088192
348	Caixa2doBolsanaro	1053076086806982656
349	G1	1053076089353003008
350	Eleições2018	1053076089353003008
351	PTNAO	1053076093706559489
352	PTNUNCAMAIS	1053076093706559489
353	BolsonaroPresidente17	1053076137121890304
354	FolhaMarmitaDoPT	1053076137893597186
355	FolhaCapachoDoPT	1053076137893597186
356	Caixa2doBolsanaro	1053076143006498816
357	Euvimdegraça	1053076154100400128
358	G1	1053076169791324160
359	Eleições2018	1053076169791324160
360	Caixa2doBolsanaro	1053076170982461440
361	Caixa2doBolsonaro	1053076177508802560
362	G1	1053076177584353280
363	G1Rio	1053076177584353280
364	Bolsolao	1053076192398598145
365	caixa2deBolsonaro	1053076192398598145
366	Caixa2doBolsanaro	1053076201412194304
367	G1	1053076227538542592
368	Eleições2018	1053076227538542592
369	Caixa2doBolsanaro	1053076230730383361
370	G1	1053076241090314241
371	Caixa2doBolsonaro	1053076273243795457
372	Bolsolão	1053076273243795457
373	caixa2deBolsonaro	1053076273969422336
374	Bolsolao	1053076273969422336
375	Caixa2doBolsonaro	1053076312691228673
376	G1	1053076312636710912
377	G1Rio	1053076312636710912
378	G1	1053076314519994369
