id	expanded_url	url	display	tweet
7416	https://www1.folha.uol.com.br/poder/2018/10/segundo-turno-tem-que-ser-entre-mim-e-ciro-diz-haddad.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/JuP0PvcU5V	www1.folha.uol.com.br/poder/2018/10/…	1053214717672595456
7417	https://www1.folha.uol.com.br/poder/2018/10/segundo-turno-tem-que-ser-entre-mim-e-ciro-diz-haddad.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/JuP0PvcU5V	www1.folha.uol.com.br/poder/2018/10/…	1053214771800145921
7418	https://glo.bo/2NNxgYc	https://t.co/MTtQ0I3Yff	glo.bo/2NNxgYc	1053214773209374720
7419	https://glo.bo/2NNxgYc	https://t.co/MTtQ0I3Yff	glo.bo/2NNxgYc	1053214789432938496
7420	http://bit.ly/2CTkhmW	https://t.co/f6IP6FtvSf	bit.ly/2CTkhmW	1053214792981327872
7421	https://twitter.com/i/web/status/1053214794659053568	https://t.co/IFPWDu6j72	twitter.com/i/web/status/1…	1053214794659053568
7422	https://www1.folha.uol.com.br/poder/2018/10/dono-da-havan-diz-que-nao-banca-campanha-anti-pt-pelo-whatsapp-e-fala-em-processar-a-folha.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/WMJScyoAjq	www1.folha.uol.com.br/poder/2018/10/…	1053214852079149056
7423	https://twitter.com/i/web/status/1053214870190129152	https://t.co/08BMYyUmbn	twitter.com/i/web/status/1…	1053214870190129152
7424	https://www1.folha.uol.com.br/poder/2018/10/bolsonaro-e-visto-como-o-mais-autoritario-e-haddad-o-que-mais-defende-pobres.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/VnkwdlMYLf	www1.folha.uol.com.br/poder/2018/10/…	1053214876582207488
7425	https://glo.bo/2R2lD1H	https://t.co/eVRMSAOjff	glo.bo/2R2lD1H	1053214881305030656
7426	https://twitter.com/i/web/status/1053214891388088320	https://t.co/Rub675VXdm	twitter.com/i/web/status/1…	1053214891388088320
7427	https://twitter.com/i/web/status/1053214941967192064	https://t.co/xSx15FOW88	twitter.com/i/web/status/1…	1053214941967192064
7428	https://www1.folha.uol.com.br/poder/2018/10/em-culto-malafaia-ataca-a-folha-e-ensina-fieis-a-identificar-fake-news.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/TyVDw4yGqy	www1.folha.uol.com.br/poder/2018/10/…	1053214969427361794
7429	https://www1.folha.uol.com.br/poder/2018/10/basta-prender-um-empresario-e-vao-entregar-a-quadrilha-toda-diz-haddad-sobre-campanha-de-difamacao.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/zqSeyzbeue	www1.folha.uol.com.br/poder/2018/10/…	1053215016089014275
7430	https://glo.bo/2NNxgYc	https://t.co/MTtQ0I3Yff	glo.bo/2NNxgYc	1053215037878353920
7431	https://painel.blogfolha.uol.com.br/?p=27127?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/aWnwZzcWDn	painel.blogfolha.uol.com.br/?p=27127?utm_s…	1053215060896768000
7432	https://www1.folha.uol.com.br/poder/2018/10/haddad-pede-que-tse-convoque-whatsapp-para-investigar-crime-eleitoral.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/Q2IlC1bi9Q	www1.folha.uol.com.br/poder/2018/10/…	1053215062029205505
7433	https://www1.folha.uol.com.br/ilustrissima/2018/10/bolsonaro-nunca-se-aprofundou-no-tema-da-seguranca-diz-especialista.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha	https://t.co/sf7iJK591i	www1.folha.uol.com.br/ilustrissima/2…	1053215062150860801
7434	https://twitter.com/i/web/status/1053215079741702144	https://t.co/swCv1w6BYD	twitter.com/i/web/status/1…	1053215079741702144
7435	https://twitter.com/i/web/status/1053215089711611904	https://t.co/CixxIV5Ir0	twitter.com/i/web/status/1…	1053215089711611904
7436	https://glo.bo/2CR3xwt	https://t.co/84mg3Y0Cx7	glo.bo/2CR3xwt	1053215091791970305
