id	tweet	id_user	name	screen_name
18369	1053152290734030853	14594813	Folha de S.Paulo	folha
18370	1053152294160732160	14594813	Folha de S.Paulo	folha
18371	1053152327614504960	14594813	Folha de S.Paulo	folha
18372	1053152331737513984	14594813	Folha de S.Paulo	folha
18373	1053152358119686144	8802752	G1	g1
18374	1053152358119686144	128372940	Jair Bolsonaro 1️⃣7️⃣	jairbolsonaro
18375	1053152357947711488	14594813	Folha de S.Paulo	folha
18376	1053152368844529665	14594813	Folha de S.Paulo	folha
18377	1053152371260428288	14594813	Folha de S.Paulo	folha
18378	1053152392538136576	8802752	G1	g1
18379	1053152402495467520	14594813	Folha de S.Paulo	folha
18380	1053152416298946560	14594813	Folha de S.Paulo	folha
18381	1053152437673099265	14594813	Folha de S.Paulo	folha
18382	1053152445696827392	14594813	Folha de S.Paulo	folha
18383	1053152462272651269	14594813	Folha de S.Paulo	folha
18384	1053152477229576193	14594813	Folha de S.Paulo	folha
18385	1053152479574220800	14594813	Folha de S.Paulo	folha
18386	1053152525807960065	9317502	Estadão	Estadao
18387	1053152525807960065	97293135	Estadão Esportes	EstadaoEsporte
18388	1053152527770890240	14594813	Folha de S.Paulo	folha
18389	1053152562906652672	14594813	Folha de S.Paulo	folha
18390	1053152573757288448	14594813	Folha de S.Paulo	folha
18391	1053152608750309377	14594813	Folha de S.Paulo	folha
18392	1053152608750309377	128372940	Jair Bolsonaro 1️⃣7️⃣	jairbolsonaro
18393	1053152626815221760	9317502	Estadão	Estadao
18394	1053152626815221760	78140369	Cultura Estadão	EstadaoCultura
18395	1053152681462763520	14594813	Folha de S.Paulo	folha
18396	1053152713565974529	14594813	Folha de S.Paulo	folha
18397	1053152729907060736	8802752	G1	g1
18398	1053152741139320832	14594813	Folha de S.Paulo	folha
18399	1053152797208821760	14594813	Folha de S.Paulo	folha
18400	1053152799738028032	14594813	Folha de S.Paulo	folha
18401	1053152828666056704	14594813	Folha de S.Paulo	folha
18402	1053152845787213826	8802752	G1	g1
18403	1053152874488827904	14594813	Folha de S.Paulo	folha
18404	1053152893979779073	14594813	Folha de S.Paulo	folha
18405	1053152893979779073	58951368	Mônica Bergamo	monicabergamo
18406	1053152908898918400	14594813	Folha de S.Paulo	folha
18407	1053152930591858688	14594813	Folha de S.Paulo	folha
18408	1053152933276200961	14594813	Folha de S.Paulo	folha
18409	1053152943615238144	14594813	Folha de S.Paulo	folha
18410	1053152967703060480	14594813	Folha de S.Paulo	folha
18411	1053152976599203842	14594813	Folha de S.Paulo	folha
18412	1053152976599203842	58951368	Mônica Bergamo	monicabergamo
18413	1053153006512955393	14594813	Folha de S.Paulo	folha
18414	1053153016390533120	14594813	Folha de S.Paulo	folha
18415	1053153041908711425	14594813	Folha de S.Paulo	folha
18416	1053153045926866945	14594813	Folha de S.Paulo	folha
18417	1053153067682709504	14594813	Folha de S.Paulo	folha
18418	1053153070107029504	14594813	Folha de S.Paulo	folha
18419	1053153090952724481	14594813	Folha de S.Paulo	folha
18420	1053153090952724481	58951368	Mônica Bergamo	monicabergamo
18421	1053153094706622464	14594813	Folha de S.Paulo	folha
18422	1053153119343988738	14594813	Folha de S.Paulo	folha
18423	1053153150335680512	14594813	Folha de S.Paulo	folha
18424	1053153172133437442	14594813	Folha de S.Paulo	folha
18425	1053153195269210112	14594813	Folha de S.Paulo	folha
18426	1053153195269210112	58951368	Mônica Bergamo	monicabergamo
18427	1053153212017074176	14594813	Folha de S.Paulo	folha
18428	1053153238273441792	14594813	Folha de S.Paulo	folha
18429	1053153249279258624	14594813	Folha de S.Paulo	folha
18430	1053153288449875968	14594813	Folha de S.Paulo	folha
18431	1053153292375805952	14594813	Folha de S.Paulo	folha
18432	1053153332154564608	14594813	Folha de S.Paulo	folha
18433	1053153355663663104	14594813	Folha de S.Paulo	folha
18434	1053153363297214466	9317502	Estadão	Estadao
18435	1053153363297214466	97293135	Estadão Esportes	EstadaoEsporte
18436	1053153378107359233	14594813	Folha de S.Paulo	folha
18437	1053153404187566080	8802752	G1	g1
18438	1053153472344932352	14594813	Folha de S.Paulo	folha
18439	1053153498160943107	14594813	Folha de S.Paulo	folha
18440	1053153508093034496	14594813	Folha de S.Paulo	folha
18441	1053153509225517056	14594813	Folha de S.Paulo	folha
18442	1053153517001674752	9317502	Estadão	Estadao
18443	1053153517001674752	76369002	Política Estadão	EstadaoPolitica
18444	1053153556402987013	14594813	Folha de S.Paulo	folha
18445	1053153589282172928	14594813	Folha de S.Paulo	folha
18446	1053153591530307584	14594813	Folha de S.Paulo	folha
18447	1053153620101918720	14594813	Folha de S.Paulo	folha
18448	1053153627072851968	14594813	Folha de S.Paulo	folha
18449	1053153645938786304	14594813	Folha de S.Paulo	folha
18450	1053153652314136576	9317502	Estadão	Estadao
18451	1053153652314136576	78774644	Economia Estadão	EstadaoEconomia
18452	1053153673692540928	14594813	Folha de S.Paulo	folha
18453	1053153693632204800	14594813	Folha de S.Paulo	folha
18454	1053153694685061120	9317502	Estadão	Estadao
18455	1053153694685061120	78774644	Economia Estadão	EstadaoEconomia
18456	1053153708803014656	14594813	Folha de S.Paulo	folha
